name,village_id
UNTUNG BERTUAH,14.02.02.2013
SELENDANG PUTRI DEWA ULAR,14.02.01.2001
RANTAI EMAS,14.09.02.2026
LOMPATAN DUBALANG KUCIENG ITOM,14.09.13.2009
RAJO BUJANG,14.09.09.2008
SEROJA INDAH RAWANG DURI,14.09.04.2016
SIPOSAN RIMBO,14.09.09.2011
GARUDA BARU,14.09.07.2001
RAJO TUNGGAL RIMBO BINUANG,14.09.02.2004
KALOJENGKING TIGO JUMBALANG,14.09.01.2027
BINUAN SATI,14.09.12.2009
MERAK JINGGA,14.09.02.2014
RAJO GUMORIANG,14.09.06.1001
RAJA LAUT,14.09.13.2013
PALIMO OLANG PUTIE,14.09.12.2005
KEMILAU EMAS SUNGAI TOMBANG,14.09.13.2014
GIRIANG-GIRIANG PERAK GONTO KUANTAN,14.09.02.2015
RAJO MUDO,14.09.09.2005
3 PUTRI OLAK KERAMAT,14.02.09.2017
ATOM,14.09.06.2013
LOMPATAN KERAMAT PANJANG,14.09.02.2005
GURINDAM 12 PETUAH NAGORI,14.09.11.2003
PUTI MANDI MAYANG TAURAI,14.09.01.2017
PANGERAN BUKIT SEHATI SMKN 1 TELUK KUANTAN,14.09.02.1025
TUAH KALAJENGKING MUDA INDRAGIRI,14.02.02.2013
KAHULU JANTAN DANAU KOMPE 1,14.09.06.2016
KILEK KERAMAT MUARO LAI,14.09.09.2011
AGUNG KUANTAN KUALO ROMANGAN,14.09.06.2010
LINGGAR JATI J-A,14.09.09.2003
CAHAYO DANAU SATI GALUGUE JANTAN,14.09.11.2007
TITIAN AKAR LUBUK BELANTI,14.09.01.2024
BATU LOMPATAN HARIMAU KOMPE,14.09.01.2024
KORI PUSAKO KAMPUANG LAYANG DATUAK MANGKUTO JILELO,14.09.12.2010
DEK LASAK UNTUONG JADI,14.09.11.2011
RAJO MONTILI,14.09.02.2019
AIGH GEMURUAH TOPIAN MANDI PUTRI SATI,14.09.01.2013
SINGA KUANTAN 1,14.09.12.2004
SELENDANG PUTRI DANAU SEROJA,14.09.06.2008
LIMBAGO SATI RANTAU KUANTAN,14.09.02.2007
TUOK KASANG PANGLIMO RAJO,14.09.13.2010
HARIMAU PAING,14.09.02.2028
SELENDANG PUTI RANO BISO,14.09.02.2023
SMKN 2 TELUK KUANTAN,14.09.02.2015
ENDANG RUMUS,14.09.01.2019
TUAH DATUK JUBAH PUTIH,14.09.05.2010
PANGLIMO GAJAH PUTIH,14.09.06.2014
BUAYA KUNING KERAMAT DUBALANG HITAM,14.02.02.2004
PUTRI ONANGAN PADUKO SARI,14.09.05.2007
TAJAU OME PUTRI KINANTAN,14.09.02.1018
SUTAN NAN GARANG,14.09.09.2003
MERIAM ONGGANG PARAU,14.09.04.2018
SANG RATU HELMINA,14.09.12.2006
TIGO DUBALANG GHAJO MUDO INDRAGIRI,14.02.14.2003
PENDEKAR HULU BUKIT TABANDANG,14.09.12.2001
SELENDANG PUTIE BUKIT KERAMAT,14.09.07.2002
SEMBARAN OLANG PULAI,14.09.09.2014
CAHAYA BARU,14.09.09.2012
LASKAR MUDO PARISAI NAGORI,14.09.04.1002
LINTAH JALANG,14.09.07.2009
TUAH INTAN SELENDANG MAYANG,14.09.06.2005
OMBAK NYALO SIMUTU OLANG,14.09.06.2010
PUTRI KUMAYANG LINDUANG DAUN,14.09.06.2012
OLANG BARANTAI,14.09.09.2009
NGIANG KUANTAN CAHAYA NAGORI,14.09.05.2005
