14.09,KUANTAN SINGINGI
14.09.01,Kuantan Mudik
14.09.01.2004,Air Buluh
14.09.01.2005,Pantai
14.09.01.2007,Lubuk Ramo
14.09.01.2008,Seberang Cengar
14.09.01.2009,Koto Cengar
14.09.01.2010,Sangau
14.09.01.2011,Banjar Padang
14.09.01.1012,Pasar Lubuk Jambi
14.09.01.2013,Kasang
14.09.01.2014,Koto Lubuk Jambi
14.09.01.2015,Pulau Binjai
14.09.01.2016,Seberang Pantai
14.09.01.2017,Rantau Sialang
14.09.01.2018,Luai
14.09.01.2019,Banjar Guntung
14.09.01.2020,Bukit Pedusunan
14.09.01.2021,Saik
14.09.01.2022,Pebaun Hulu
14.09.01.2023,Pebaun Hilir
14.09.01.2024,Kinali
14.09.01.2025,Bukit Kauman
14.09.01.2026,Aur Duri
14.09.01.2027,Sungai Manau
14.09.01.2030,Muaro Tombang
14.09.02,Kuantan Tengah
14.09.02.2001,Bandar Alai
14.09.02.2002,Pulau Kedundung
14.09.02.2003,Pulau Aro
14.09.02.2004,Seberang Taluk
14.09.02.2005,Pulau Baru
14.09.02.2006,Koto Tuo
14.09.02.2007,Kopah
14.09.02.2008,Munsalo
14.09.02.2014,Sawah
14.09.02.2015,Koto Taluk
14.09.02.1016,Pasar Teluk
14.09.02.2017,Koto Kari
14.09.02.1018,Simpang Tiga
14.09.02.2019,Pintu Gobang
14.09.02.2020,Jake
14.09.02.2021,Pulau Godang Kari
14.09.02.2022,Jaya
14.09.02.2023,Beringin Taluk
14.09.02.2024,Sitorajo
14.09.02.1025,Sungai Jering
14.09.02.2026,Seberang Taluk Hilir
14.09.02.2027,Titian Modang Kopah
14.09.02.2028,Pulau Banjar Kari
14.09.03,Singingi
14.09.03.2001,Pangkalan Indarung
14.09.03.2002,Pulau Padang
14.09.03.1003,Muara Lembu
14.09.03.2004,Logas
14.09.03.2005,Kebun Lado
14.09.03.2006,Sungai Kuning
14.09.03.2007,Sungai Sirih
14.09.03.2008,Sungai Bawang
14.09.03.2009,Air Emas
14.09.03.2010,Pasir Emas
14.09.03.2011,Petai Baru
14.09.03.2012,Sungai Keranji
14.09.03.2013,Sumber Datar
14.09.03.2014,Logas Hilir
14.09.04,Kuantan Hilir
14.09.04.1001,Pasar Usang
14.09.04.1002,Pasar Baru
14.09.04.2003,Simpang Tanah Lapang
14.09.04.2004,Rawang Bonto
14.09.04.2005,Koto Tuo
14.09.04.2006,Banuaran
14.09.04.2007,Kampung Madura
14.09.04.2009,Pulau Kijang
14.09.04.2015,Pulau Madinah
14.09.04.2016,Kampung Tengah
14.09.04.2017,Kampung Medan
14.09.04.2018,Kepala Pulau
14.09.04.2019,Teratak Baru
14.09.04.2020,Dusun Tuo
14.09.04.2028,Gunung Melintang
14.09.04.2030,Simpang Pulau Beralo
14.09.05,Cerenti
14.09.05.1001,Pasar Cerenti
14.09.05.1002,Koto Peraku
14.09.05.2003,Kompe Berangin
14.09.05.2004,Sikakak
14.09.05.2005,Kampung Baru
14.09.05.2006,Pulau Jambu
14.09.05.2007,Koto Cerenti
14.09.05.2008,Pulau Bayur
14.09.05.2009,Pulau Panjang Cerenti
14.09.05.2010,Pesikaian
14.09.05.2011,Teluk Pauh
14.09.05.2012,Tanjung Medan
14.09.05.2013,Kampung Baru Timur
14.09.06,Benai
14.09.06.1001,Benai
14.09.06.2003,Banjar Benai
14.09.06.2004,Talontom
14.09.06.2005,Gunung Kesiangan
14.09.06.2006,Pulau Kalimanting
14.09.06.2007,Banjar Lopak
14.09.06.2008,Tanjung Simandolak
14.09.06.2009,Siberakun
14.09.06.2010,Pulau Tongah
14.09.06.2011,Ujung Tanjung
14.09.06.2012,Pulau Ingu
14.09.06.2013,Simandolak
14.09.06.2014,Tebing Tinggi
14.09.06.2015,Pulau Lancang
14.09.06.2016,Benai Kecil
14.09.06.2021,Koto Benai
14.09.07,Gunung Toar
14.09.07.2001,Pulau Mungkur
14.09.07.2002,Teluk Beringin
14.09.07.2003,Pulau Rumput
14.09.07.2004,Seberang Gunung
14.09.07.2005,Teberau Panjang
14.09.07.2006,Koto Gunung
14.09.07.2007,Gunung
14.09.07.2008,Toar
14.09.07.2009,Petapahan
14.09.07.2010,Kampung Baru
14.09.07.2011,Pisang Berebus
14.09.07.2012,Lubuk Terentang
14.09.07.2013,Siberobah
14.09.07.2014,Seberang Sungai
14.09.08,Singingi Hilir
14.09.08.2001,Koto Baru
14.09.08.2002,Petai
14.09.08.2003,Sungai Paku
14.09.08.2004,Tanjung Pauh
14.09.08.2005,Simpang Raya
14.09.08.2006,Sungai Buluh
14.09.08.2007,Suka Damai
14.09.08.2008,Sumber Jaya
14.09.08.2009,Muara Bahan
14.09.08.2010,Bukit Raya
14.09.08.2011,Beringin Jaya
14.09.08.2012,Suka Maju
14.09.09,Pangean
14.09.09.2001,Pasar Baru Pangean
14.09.09.2002,Koto Pangean
14.09.09.2003,Pulau Kumpai
14.09.09.2004,Pulau Tongah
14.09.09.2005,Pulau Deras
14.09.09.2006,Teluk Pauh
14.09.09.2007,Tanah Bekali
14.09.09.2008,Padang Tanggung
14.09.09.2009,Padang Kunik
14.09.09.2010,Pembatang
14.09.09.2011,Pauh Angit
14.09.09.2012,Sukaping
14.09.09.2013,Pulau Rengas
14.09.09.2014,Rawang Binjai
14.09.09.2015,Sako
14.09.09.2016,Sungai Langsat
14.09.09.2017,Pauh Angit Hulu
14.09.10,Logas Tanah Darat
14.09.10.2001,Perhentian Luas
14.09.10.2002,Logas
14.09.10.2003,Lubuk Kebun
14.09.10.2004,Sungai Rambai
14.09.10.2005,Situgal
14.09.10.2006,Rambahan
14.09.10.2007,Teratak Rendah
14.09.10.2008,Sikijang
14.09.10.2009,Sukaraja
14.09.10.2010,Sako Margasari
14.09.10.2011,Kuantan Sako
14.09.10.2012,Hulu Teso
14.09.10.2013,Giri Sako
14.09.10.2014,Bumi Mulya
14.09.10.2015,Sidodadi
14.09.11,Inuman
14.09.11.2001,Pasar Inuman
14.09.11.2002,Koto Inuman
14.09.11.2003,Pulau Panjang Hulu
14.09.11.2004,Pulau Panjang Hilir
14.09.11.2005,Sigaruntang
14.09.11.2006,Pulau Busuk
14.09.11.2007,Bedeng Sikuran
