No,Nama Jalur,Village,Sub District
1,UNTUNG BERTUAH,DANAU BARU,INHU
2,SELENDANG PUTRI DEWA ULAR,SUNGAI GUNTUNG TENGAH,INHU
3,RANTAI EMAS,SEBERANG TALUK HILIR,KT
4,LOMPATAN DUBALANG KUCIENG ITOM,DANAU,KHS
5,RAJO BUJANG,PADANG TANGGUNG,PGN
6,SEROJA INDAH RAWANG DURI,KAMPUNG TENGAH,KH
7,SIPOSAN RIMBO,PAUH ANGIT,PGN
8,GARUDA BARU,PULAU MUNGKUR,GT
9,RAJO TUNGGAL RIMBO BINUANG,SEBERANG TALUK,KT
10,KALOJENGKING TIGO JUMBALANG,SUNGAI MANAU,KM
11,BINUAN SATI,INUMAN,HK
12,MERAK JINGGA,SAWAH,KT
13,RAJO GUMORIANG,BENAI,BNI
14,RAJA LAUT,SUNGAI SORIK,KHS
15,PALIMO OLANG PUTIE,SUNGAI ALAH,HK
16,KEMILAU EMAS SUNGAI TOMBANG,RAWANG OGUANG,KHS
17,GIRIANG-GIRIANG PERAK GONTO KUANTAN,KOTO TALUK,KT
18,RAJO MUDO,PULAU DERAS,PGN
19,3 PUTRI OLAK KERAMAT,PASIR SIALANG JAYA,INHU
20,ATOM,SIMANDOLAK,BNI
21,LOMPATAN KERAMAT PANJANG,PULAU BARU,KT
22,GURINDAM 12 PETUAH NAGORI,PULAU PANJANG HULU,IN
23,PUTI MANDI MAYANG TAURAI,RANTAU SIALANG,KM
24,PANGERAN BUKIT SEHATI SMKN 1 TELUK KUANTAN,SUNGAI JERING,KT
25,TUAH KALAJENGKING MUDA INDRAGIRI,DANAU BARU,INHU
26,KAHULU JANTAN DANAU KOMPE,BENAI KECIL,BNI
27,KILEK KERAMAT MUARO LAI,PAUH ANGIT,PGN
28,AGUNG KUANTAN KUALO ROMANGAN,PULAU TONGAH,BNI
29,LINGGAR JATI J-A,PULAU KUMPAI,PGN
30,CAHAYO DANAU SATI GALUGUE JANTAN,BEDENG SIKURAN,IN
31,TITIAN AKAR LUBUK BELANTI,KINALI,KM
32,BATU LOMPATAN HARIMAU KOMPE,KINALI,KM
33,KORI PUSAKO KAMPUANG LAYANG DATUAK MANGKUTO JILELO,TANJUNG MEDANG,HK
34,DEK LASAK UNTUONG JADI,SEBERANG PULAU BUSUK,IN
35,RAJO MONTILI,PINTU GOBANG,KT
36,AIGH GEMURUAH TOPIAN MANDI PUTRI SATI,KASANG,KM
37,SINGA KUANTAN,SUNGAI PINANG,HK
38,SELENDANG PUTRI DANAU SEROJA,TANJUNG SIMANDOLAK,BNI
39,LIMBAGO SATI RANTAU KUANTAN,KOPAH,KT
40,TUOK KASANG PANGLIMO RAJO,KASANG LIMAU SUNDAI,KHS
41,HARIMAU PAING,PULAU BANJAR KARI,KT
42,SELENDANG PUTI RANO BISO,BERINGIN TALUK,KT
43,SMKN 2 TELUK KUANTAN,KOTO TALUK,KT
44,ENDANG RUMUS,BANJAR GUNTUNG,KM
45,TUAH DATUK JUBAH PUTIH,PESIKAIAN,CRT
46,PANGLIMO GAJAH PUTIH,TEBING TINGGI,BNI
47,BUAYA KUNING KERAMAT DUBALANG HITAM,REDANG,INHU
48,PUTRI ONANGAN PADUKO SARI,KOTO CERENTI,CRT
49,TAJAU OME PUTRI KINANTAN,SIMPANG TIGA,KT
50,SUTAN NAN GARANG,PULAU KUMPAI,PGN
51,MERIAM ONGGANG PARAU,KEPALA PULAU,KH
52,SANG RATU HELMINA,KOTO KOMBU,HK
53,TIGO DUBALANG GHAJO MUDO INDRAGIRI,PEMATANG,INHU
54,PENDEKAR HULU BUKIT TABANDANG,LUBUK AMBACANG,HK
55,SELENDANG PUTIE BUKIT KERAMAT,TELUK BERINGIN,GT
56,SEMBARAN OLANG PULAI,RAWANG BINJAI,PGN
57,CAHAYA BARU,SUKAPING,PGN
58,LASKAR MUDO PARISAI NAGORI,PASAR BARU,PGN
59,LINTAH JALANG,PETAPAHAN,GT
60,TUAH INTAN SELENDANG MAYANG,GUNUNG KESIANGAN,BNI
61,OMBAK NYALO SIMUTU OLANG,PULAU TONGAH,PGN
62,PUTRI KUMAYANG LINDUANG DAUN,PULAU INGU,BNI
