name,sub_district_id,sub district name,embed_map_url
TEPIAN RENGAS SAKTI NIBUNG BETUAH,14.02.05,PERANAP,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.638967093657!2d101.97877127624305!3d-0.5432719994514088!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2a2b002693d199%3A0xd397eea87ca23e4!2sTepian%20rengas%20sakti!5e0!3m2!1sen!2sid!4v1740560628464!5m2!1sen!2sid
TEPIAN NYIUR MELAMBAI,14.09.05,CERENTI,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.657580379187!2d101.85388657624299!3d-0.5143093994806542!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2a315eb0621cd7%3A0x2d54d7a3e8e3491f!2sTepian%20Nyiur%20Melambai!5e0!3m2!1sen!2sid!4v1740562588395!5m2!1sen!2sid
TEPIAN TIGO MUARO,14.09.11,INUMAN,
TEPIAN LUBUK SOBAE,14.09.04,KUANTAN HILIR,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.702106956767!2d101.72428327624299!3d-0.4373107995583922!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2a39ac4a9f7a77%3A0x25733543d383c91b!2sTEPIAN%20LUBUK%20SOBAE!5e0!3m2!1sen!2sid!4v1740562748490!5m2!1sen!2sid
TEPIAN RAJO,14.09.09,PANGEAN,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9292.811409716052!2d101.67256732452718!3d-0.43352299000154254!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2a478cf33659d3%3A0xa65d2ff0cddc939b!2sTepian%20Rajo!5e0!3m2!1sen!2sid!4v1740562862518!5m2!1sen!2sid
TEPIAN PINCURAN SATI,14.09.06,BENAI,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.6749266010056!2d101.61972138742587!3d-0.4857663982446932!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2a492432fbca1f%3A0xea3a87d43d4259be!2sTepian%20Pincuran%20Sakti!5e0!3m2!1sen!2sid!4v1740562916625!5m2!1sen!2sid
TEPIAN DATUAK SIMAMBANG,14.09.14,SENTAJO RAYA,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.658463756813!2d101.598799176243!3d-0.51289419948208!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2a4fca14eaab65%3A0x9a554d5b449d0093!2sTribun%20Finis%20Tepian%20Datuk%20Simambang%20Rajo%20Nan%20Putiah!5e0!3m2!1sen!2sid!4v1740562963051!5m2!1sen!2sid
TEPIAN NAROSA,14.09.02,KUANTAN TENGAH,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1994.8229405618563!2d101.57079333889726!3d-0.5326974998655106!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2a4dc9d1a81d51%3A0xbda95e0bb1f45ff1!2sTepian%20Narosa!5e0!3m2!1sen!2sid!4v1740563020524!5m2!1sen!2sid
TEPIAN PANTAI LUBUK TERENTANG,14.09.07,GUNUNG TOAR,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.6029485101517!2d101.51607307624305!3d-0.5953295993988509!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2bad30166d3d05%3A0xe93d6ca1ad3e7f69!2sTepian%20pantai%20lubuk%20terentang!5e0!3m2!1sen!2sid!4v1740563059439!5m2!1sen!2sid
TEPIAN GUDANG PULAU GOBAH,14.09.12,HULU KUANTAN,
TEPIAN HAJI SAIDINA ALI,14.09.01,KUANTAN MUDIK,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.569158085083!2d101.47252407624303!3d-0.6403308993534176!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e2bad9959ce1127%3A0x2b2bd5288d978f6!2sTepian%20H.%20Sayidina%20Ali!5e0!3m2!1sen!2sid!4v1740563133094!5m2!1sen!2sid
TEPIAN DATUAK BANDARO LELO BUDI,14.09.02,KUANTAN TENGAH,
TEPIAN DATUAK BANDARO,14.09.07,GUNUNG TOAR,
TEPIAN RONGE BIRU,14.09.02,KUANTAN TENGAH,
